Hour,"Capacity, A*h","Capacity, %"
8097,5.5163,98.7946844329823
8098,5.5163,98.7946844329823
8099,5.5163,98.7946844329823
8100,5.5163,98.7946844329823
8101,5.5163,98.7946844329823
8102,5.5163,98.7946844329823
8103,5.5163,98.7946844329823
8104,5.5161,98.7911025145068
8105,5.5161,98.7911025145068
8106,5.5161,98.7911025145068
8107,5.5161,98.7911025145068
8108,5.5161,98.7911025145068
8109,5.5161,98.7911025145068
8110,5.5161,98.7911025145068
8111,5.5161,98.7911025145068
8112,5.5161,98.7911025145068
8113,5.5161,98.7911025145068
8114,5.5161,98.7911025145068
8115,5.5161,98.7911025145068
8116,5.5161,98.7911025145068
8117,5.5161,98.7911025145068
8118,5.5161,98.7911025145068
8119,5.5161,98.7911025145068
8120,5.5161,98.7911025145068
8121,5.5161,98.7911025145068
8122,5.5161,98.7911025145068
8123,5.5161,98.7911025145068
8124,5.5161,98.7911025145068
8125,5.5161,98.7911025145068
8126,5.5161,98.7911025145068
8127,5.5161,98.7911025145068
8128,5.5159,98.7875205960312
8129,5.5159,98.7875205960312
8130,5.5159,98.7875205960312
8131,5.5159,98.7875205960312
8132,5.5159,98.7875205960312
8133,5.5159,98.7875205960312
8134,5.5159,98.7875205960312
8135,5.5159,98.7875205960312
8136,5.5159,98.7875205960312
8137,5.5159,98.7875205960312
8138,5.5159,98.7875205960312
8139,5.5159,98.7875205960312
8140,5.5159,98.7875205960312
8141,5.5159,98.7875205960312
8142,5.5159,98.7875205960312
8143,5.5159,98.7875205960312
8144,5.5159,98.7875205960312
8145,5.5159,98.7875205960312
