t,Pcharge,Pdischarge
5484,16.88450116904468,5.878456808356518e-7
5485,22.20300116904465,5.878456698454049e-7
5486,25.327501169044623,5.878456598448812e-7
5487,25.298001169044632,5.878456594317476e-7
5488,19.341001169044674,5.878456755056315e-7
5489,9.702501169044734,5.878456996126211e-7
5490,5.878458957013313e-7,1.5538908574276091
5491,5.878456982764221e-7,10.004341176859167
5492,5.878456894237606e-7,13.38628296438655
5493,5.878456966778153e-7,11.246385013488057
5494,5.878457049568754e-7,9.198602878057327
5495,5.878457131468425e-7,7.699183763859255
5496,5.878457214031166e-7,6.578586997228687
5497,5.878457264262803e-7,6.031991497612215
5498,5.878457282559299e-7,5.8475574233778955
5499,5.878457286409503e-7,5.8017291771219375
5500,5.878457283469453e-7,5.81677701101076
5501,5.878457254306063e-7,6.080168225671671
5502,5.878457216131939e-7,6.459510647953971
5503,5.878457100226686e-7,7.985495797389183
5504,5.878457019655251e-7,9.359772012142612
5505,5.878457132118536e-7,7.194746648578061
5506,5.878459498272166e-7,1.2578476672181116
5507,9.050501169044738,5.878457025879645e-7
5508,16.88450116904468,5.878456808562077e-7
5509,22.20300116904465,5.878456698653478e-7
5510,25.327501169044623,5.878456598629816e-7
5511,25.298001169044632,5.878456594467998e-7
5512,19.341001169044674,5.878456755167112e-7
5513,9.702501169044734,5.878456996200073e-7
5514,5.878458957059869e-7,1.5538966611135803
5515,5.878456982823936e-7,10.004293305967533
5516,5.878456894324926e-7,13.385952448277902
5517,5.878456966891428e-7,11.24608991747618
5518,5.878457049701006e-7,9.198385146149516
5519,5.878457131614267e-7,7.6990311680072345
5520,5.878457214186699e-7,6.57848629974553
5521,5.878457264425472e-7,6.031921133527212
5522,5.878457282727419e-7,5.847508995622296
5523,5.878457286581779e-7,5.801705063688877
5524,5.878457283644654e-7,5.816782420797994
5525,5.878457254483012e-7,6.080213135630112
5526,5.878457216309403e-7,6.4596140829975
5527,5.878457100402943e-7,7.985741069554816
5528,5.878457019827924e-7,9.360240268512621
5529,5.878457132285117e-7,7.195139933258207
5530,5.878459498425681e-7,1.2578681895323853
5531,9.050501169044738,5.878457026082127e-7
5532,16.88450116904468,5.878456808767689e-7
5533,22.20300116904465,5.878456698852958e-7
5534,25.327501169044623,5.878456598810834e-7
5535,25.298001169044632,5.87845659461852e-7
5536,19.341001169044674,5.878456755277932e-7
5537,9.702501169044734,5.87845699627397e-7
5538,5.878458957106439e-7,1.5539024706619098
5539,5.878456982883681e-7,10.004245917361255
5540,5.878456894412236e-7,13.385621750535357
5541,5.878456967004768e-7,11.245794948263727
5542,5.878457049833287e-7,9.19816735094823
5543,5.878457131760108e-7,7.698879042464174
5544,5.878457214342283e-7,6.5783858258248
5545,5.87845726458815e-7,6.031850676672038
5546,5.878457282895548e-7,5.847460855221606
5547,5.878457286754048e-7,5.801680759524797
5548,5.878457283819871e-7,5.8167876899050865
5549,5.878457254659996e-7,6.080257824815581
5550,5.878457216486908e-7,6.459717361117771
5551,5.878457100579229e-7,7.985986085667527
5552,5.878457020000643e-7,9.36070843445857
5553,5.878457132451711e-7,7.195532837170399
5554,5.878459498579225e-7,1.2578887206154774
5555,9.050501169044738,5.878457026284632e-7
5556,16.88450116904468,5.878456808973299e-7
5557,22.20300116904465,5.878456699052425e-7
5558,25.327501169044623,5.878456598991864e-7
5559,25.298001169044632,5.878456594769067e-7
5560,19.341001169044674,5.878456755388778e-7
5561,9.702501169044734,5.878456996347876e-7
5562,5.878458957153047e-7,1.5539082785358695
5563,5.878456982943446e-7,10.004198271265878
